Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
amazon-dfwrtrt.youdontcare.com,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
realizesolucoesfinancerasonline.ukconstructionsafetysolutions.org,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1
sites.google.com,0,0,0,3,0,0,0,0,0,1,1,0,1,1,1,1
help-center376.crabdance.com,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1
smbcsejdnnjejehbr.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
asw2-mks24.firebaseapp.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1
id-white-vulture-benfrejchadi350704.codeanyapp.com,0,0,1,3,0,0,0,1,0,1,1,1,1,1,1,1
eclan-h.bar,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1
web-51093.web.app,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1
help-center200.crabdance.com,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1
main.d2d5zvegxeesfi.amplifyapp.com,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1
tcatfrjkvj.steven-johnson.workers.dev,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1
dev-seguridadenlinea-bancobisa.pantheonsite.io,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1
bitwardenlogin.com:443,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
s950444934.onlinehome.us,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
acikdeniz-mobil-basvuru.cf,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
syneoshealthlondon.co.uk.admin-mcas.ms,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1
authenticate-0oxsoxauthe.pages.dev,0,0,1,1,0,0,0,1,0,1,1,1,1,1,0,1
appealform6009254729745321.firebaseapp.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1
s2yiut.webwave.dev,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
raqpilv-dmx-2.tk,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1
quyy01.webwave.dev,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
netinterbanhk.site,0,0,1,4,0,0,0,0,0,1,1,1,1,1,1,1
logx_metamsk.godaddysites.com,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
dominionovinho1.com,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1
petrichor-uae.com,0,0,0,3,0,0,0,1,0,1,1,1,1,1,0,1
sicur-sienps.com,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
